2023-05-19 12:05:718 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (b5f095755e6063f76173344048d3cfed)] -> xpath: //select[@id='models']]
2023-05-19 12:05:860 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (b5f095755e6063f76173344048d3cfed)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:981 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (b5f095755e6063f76173344048d3cfed)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:04 INFO  Homepage :34 - Buy sell tab : Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'buy + sell')]'
2023-05-19 12:05:268 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (22d90e162eab7bc73e41d07cad36dc0c)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:502 INFO  Homepage :44 - Click on Used cars : [[ChromeDriver: chrome on WINDOWS (22d90e162eab7bc73e41d07cad36dc0c)] -> xpath: //a[normalize-space()='Used']]
2023-05-19 12:05:931 INFO  UsedCarPage :23 - Verify text: [[ChromeDriver: chrome on WINDOWS (22d90e162eab7bc73e41d07cad36dc0c)] -> xpath: //h1[normalize-space()='Used Cars For Sale']]
2023-05-19 12:05:760 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (22d90e162eab7bc73e41d07cad36dc0c)] -> xpath: //select[@id='makes']]
2023-05-19 12:05:62 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (22d90e162eab7bc73e41d07cad36dc0c)] -> xpath: //select[@id='models']]
2023-05-19 12:05:272 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (22d90e162eab7bc73e41d07cad36dc0c)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:789 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (22d90e162eab7bc73e41d07cad36dc0c)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:301 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (2580a8327efb408ec07b4603fc52027b)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:510 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (2580a8327efb408ec07b4603fc52027b)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 12:05:986 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (2580a8327efb408ec07b4603fc52027b)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
